Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.33,3.261410056954775e-05 AU,5429,3.7,4.3 km / s,1407.6,4222.6,0.387037594379343 AU,0.3074910076243485 AU,0.46658418113433753 AU,0.387037594379343 AU,0.2410958904109589 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87,8.091024252793726e-05 AU,5243,8.9,10.4 km / s,-5832.5,2802.0,0.7232723266294458 AU,0.7185931156438579 AU,0.7279515376150337 AU,0.7232723266294458 AU,0.6156164383561643 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.97,8.526859333165629e-05 AU,5514,9.8,11.2 km / s,23.9,24.0,1.0000142334913595 AU,0.9833027656856883 AU,1.0167257012970305 AU,1.0000142334913595 AU,1.0005479452054795 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,0.073,2.3228940249882847e-05 AU,3340,1.6,2.4 km / s,655.7,708.7,0.002566881454951083 AU,0.0024265051253834456 AU,0.002713942371640989 AU,0.0025702237485122174 AU,0.0747945205479452 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,0.642,4.540171573444728e-05 AU,3934,3.7,5.0 km / s,24.6,24.7,1.5240858638772057 AU,1.3817041581728877 AU,1.6664675695815234 AU,1.5240858638772057 AU,1.8821917808219177 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1898.0,0.0009557890050904314 AU,1326,23.1,59.5 km / s,9.9,9.9,5.2039510746859845 AU,4.950605222752011 AU,5.457296926619959 AU,5.2039510746859845 AU,11.865753424657534 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,568.0,0.0008057333933697493 AU,687,9.0,35.5 km / s,10.7,10.7,9.572328759088414 AU,9.074995477191642 AU,10.070330499697413 AU,9.572662988444527 AU,29.443835616438356 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,86.8,0.0003417027245161184 AU,1270,8.7,21.3 km / s,-17.2,17.2,19.164711279543635 AU,18.26697122902298 AU,20.06311978877651 AU,19.16504550889975 AU,83.8054794520548 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,102.0,0.0003310742309917116 AU,1638,11.0,23.5 km / s,16.1,16.1,30.180910857042033 AU,29.887457482374447 AU,30.474364231709618 AU,30.180910857042033 AU,163.83561643835617 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,0.013,1.588257900250983e-05 AU,1850,0.7,1.3 km / s,-153.3,153.3,39.48184537896635 AU,29.658176144080638 AU,49.30484615513983 AU,39.481511149610235 AU,248.1095890410959 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
